PCS length (L),Number of PCS of Length L
813,18
814,9
815,11
816,10
817,9
818,16
819,10
820,12
821,13
822,13
823,22
824,4
825,16
826,10
827,14
828,14
829,11
830,9
831,9
832,11
833,12
834,15
835,14
836,21
837,12
838,11
839,10
840,8
841,9
842,9
843,7
844,9
845,4
846,10
847,8
848,10
849,8
850,6
851,9
852,8
853,10
854,19
855,9
856,10
857,5
858,7
859,10
860,14
861,8
862,11
863,5
864,8
865,9
866,8
867,6
868,8
869,9
870,5
871,6
872,10
873,7
874,7
875,3
876,6
877,5
878,6
879,10
880,4
881,5
882,7
883,6
884,9
885,7
886,9
887,12
888,7
889,8
890,3
891,5
892,10
893,1
894,8
895,3
896,6
897,4
898,7
899,13
900,4
901,9
902,5
903,5
904,6
905,4
906,5
907,5
908,10
909,5
910,4
911,5
912,4
913,4
914,4
915,2
916,9
917,9
918,4
919,4
920,5
921,5
922,7
923,6
924,5
925,7
926,6
927,9
928,9
929,6
930,5
931,6
932,5
933,3
934,3
935,8
936,5
937,4
938,5
939,3
940,5
941,5
942,9
943,2
944,3
945,3
946,4
947,3
948,6
949,5
950,3
951,5
952,2
953,7
954,5
955,4
956,1
957,2
958,2
959,3
960,5
961,6
962,5
963,4
964,0
965,6
966,2
967,8
968,1
969,1
970,4
971,6
972,4
973,5
974,6
975,3
976,1
977,6
978,5
979,5
980,1
981,2
982,2
983,3
984,7
985,9
986,6
987,1
988,2
989,1
990,5
991,5
992,2
993,3
994,3
995,4
996,5
997,3
998,5
999,6
1000,6
1001,0
1002,2
1003,1
1004,4
1005,4
1006,4
1007,3
1008,2
1009,5
1010,1
1011,4
1012,3
1013,3
1014,4
1015,3
1016,5
1017,2
1018,3
1019,3
1020,3
1021,2
1022,3
1023,2
1024,1
1025,2
1026,1
1027,6
1028,1
1029,1
1030,0
1031,3
1032,1
1033,2
1034,1
1035,1
1036,1
1037,0
1038,6
1039,0
1040,3
1041,5
1042,2
1043,1
1044,0
1045,3
1046,5
1047,4
1048,1
1049,3
1050,1
1051,3
1052,2
1053,2
1054,1
1055,1
1056,0
1057,2
1058,4
1059,1
1060,1
1061,2
1062,0
1063,0
1064,2
1065,1
1066,3
1067,0
1068,4
1069,1
1070,5
1071,1
1072,0
1073,2
1074,1
1075,0
1076,0
1077,2
1078,2
1079,2
1080,0
1081,3
1082,0
1083,4
1084,1
1085,3
1086,0
1087,2
1088,2
1089,3
1090,2
1091,2
1092,2
1093,2
1094,2
1095,1
1096,1
1097,1
1098,0
1099,3
1100,3
1101,5
1102,0
1103,1
1104,1
1105,0
1106,1
1107,0
1108,2
1109,2
1110,1
1111,2
1112,0
1113,1
1114,2
1115,0
1116,0
1117,1
1118,1
1119,2
1120,0
1121,2
1122,1
1123,1
1124,1
1125,1
1126,2
1127,2
1128,1
1129,0
1130,2
1131,0
1132,2
1133,2
1134,3
1135,1
1136,3
1137,1
1138,2
1139,2
1140,2
1141,2
1142,2
1143,0
1144,0
1145,1
1146,1
1147,0
1148,1
1149,1
1150,0
1151,2
1152,1
1153,1
1154,0
1155,3
1156,4
1157,2
1158,0
1159,1
1160,0
1161,1
1162,1
1163,3
1164,1
1165,2
1166,3
1167,1
1168,1
1169,1
1170,0
1171,1
1172,0
1173,0
1174,3
1175,3
1176,1
1177,0
1178,0
1179,2
1180,3
1181,0
1182,1
1183,2
1184,0
1185,0
1186,1
1187,0
1188,1
1189,0
